,Pitch_range,NPC,Polyphony,Empty_beat_rates
0,81,32,5.099644128113879,0.19999999999999996
1,82,26,3.0586206896551724,0.11627906976744184
2,87,31,4.601139601139601,0.022222222222222254
3,81,30,6.535564853556485,0.11428571428571432
4,85,34,3.4522613065326633,0.19696969696969702
5,73,29,3.6230529595015577,0.12244897959183676
6,84,27,3.596969696969697,0.12244897959183676
7,85,26,4.529616724738676,0.0
8,83,34,5.1375838926174495,0.04878048780487809
9,84,29,6.089743589743589,0.1428571428571429
10,86,35,4.064965197215777,0.0
11,86,35,5.487179487179487,0.04761904761904767
12,84,9,6.089743589743589,0.1428571428571429
13,86,12,4.064965197215777,0.0
14,86,12,5.487179487179487,0.04761904761904767
15,84,11,3.596969696969697,0.12244897959183676
16,85,10,4.529616724738676,0.0
17,83,12,5.1375838926174495,0.04878048780487809
18,81,12,6.535564853556485,0.11428571428571432
19,85,12,3.4522613065326633,0.19696969696969702
20,73,12,3.6230529595015577,0.12244897959183676
21,81,12,5.099644128113879,0.19999999999999996
22,82,11,3.0586206896551724,0.11627906976744184
23,87,12,4.601139601139601,0.022222222222222254
